Player,Age,Tm,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary
Dejounte Murray,27,ATL,SG,78,78,35.7,8.6,18.8,.459,2.6,7.1,.363,6.0,11.7,.518,.528,2.7,3.4,.794,0.8,4.5,5.3,6.4,1.4,0.3,2.6,1.8,22.5,17.7,.555,.379,.179,2.3,14.4,8.1,27.9,1.9,0.8,11.3,26.6,3.3,1.6,4.9,.084,2.3,-0.6,1.7,2.6,18214000.0
Cam Thomas,22,BRK,SG,66,51,31.4,8.0,18.0,.442,2.2,6.0,.364,5.8,12.0,.481,.503,4.3,5.1,.856,0.4,2.8,3.2,2.9,0.7,0.2,1.9,2.1,22.5,16.1,.554,.333,.281,1.4,10.1,5.6,15.7,1.1,0.7,8.5,30.5,1.3,1.2,2.5,.058,0.7,-1.9,-1.2,0.4,2240160.0
Kyle Kuzma,28,WAS,PF,70,70,32.6,8.7,18.8,.463,2.2,6.4,.336,6.5,12.3,.530,.521,2.7,3.4,.775,0.9,5.7,6.6,4.2,0.5,0.7,2.7,2.2,22.2,15.7,.547,.343,.183,2.8,19.3,10.9,20.7,0.8,1.8,11.9,29.7,-1.0,1.1,0.2,.004,0.5,-1.6,-1.1,0.5,25568182.0
Karl-Anthony Towns,28,MIN,PF,62,62,32.7,7.7,15.3,.504,2.2,5.3,.416,5.5,10.1,.550,.575,4.1,4.7,.873,1.5,6.8,8.3,3.0,0.7,0.7,2.9,3.3,21.8,18.8,.625,.344,.307,5.5,22.6,14.4,15.1,1.0,1.8,14.1,27.4,2.6,3.6,6.3,.148,1.6,0.9,2.5,2.3,36016200.0
Karl-Anthony Towns,28,MIN,PF,62,62,32.7,7.7,15.3,.504,2.2,5.3,.416,5.5,10.1,.550,.575,4.1,4.7,.873,1.5,6.8,8.3,3.0,0.7,0.7,2.9,3.3,21.8,18.8,.625,.344,.307,5.5,22.6,14.4,15.1,1.0,1.8,14.1,27.4,2.6,3.6,6.3,.148,1.6,0.9,2.5,2.3,36016200.0
Pascal Siakam,29,TOR,PF,39,39,34.7,8.3,16.0,.522,1.2,3.7,.317,7.2,12.3,.584,.559,4.3,5.7,.758,1.4,4.9,6.3,4.9,0.8,0.3,2.1,2.2,22.2,18.8,.600,.233,.358,4.3,15.9,10.0,22.1,1.1,0.7,10.3,25.3,2.4,0.6,3.0,.106,2.2,-0.8,1.4,1.2,37893408.0
Pascal Siakam,29,TOR,PF,39,39,34.7,8.3,16.0,.522,1.2,3.7,.317,7.2,12.3,.584,.559,4.3,5.7,.758,1.4,4.9,6.3,4.9,0.8,0.3,2.1,2.2,22.2,18.8,.600,.233,.358,4.3,15.9,10.0,22.1,1.1,0.7,10.3,25.3,2.4,0.6,3.0,.106,2.2,-0.8,1.4,1.2,37893408.0
Pascal Siakam,29,IND,PF,41,41,31.8,8.7,15.8,.549,1.0,2.5,.386,7.7,13.3,.580,.579,3.0,4.2,.699,2.1,5.7,7.8,3.7,0.8,0.4,1.4,2.6,21.3,20.7,.602,.156,.267,7.4,20.3,13.9,16.5,1.1,0.9,7.4,25.2,3.0,0.9,3.9,.143,3.0,-0.5,2.5,1.5,37893408.0
Pascal Siakam,29,IND,PF,41,41,31.8,8.7,15.8,.549,1.0,2.5,.386,7.7,13.3,.580,.579,3.0,4.2,.699,2.1,5.7,7.8,3.7,0.8,0.4,1.4,2.6,21.3,20.7,.602,.156,.267,7.4,20.3,13.9,16.5,1.1,0.9,7.4,25.2,3.0,0.9,3.9,.143,3.0,-0.5,2.5,1.5,37893408.0
Victor Wembanyama,20,SAS,C,71,71,29.7,7.8,16.7,.465,1.8,5.5,.325,6.0,11.2,.534,.519,4.1,5.2,.796,2.3,8.4,10.6,3.9,1.2,3.6,3.7,2.2,21.4,23.1,.565,.332,.309,8.2,30.7,19.4,21.5,2.0,10.0,16.2,32.2,-0.7,4.4,3.7,.085,1.9,3.3,5.2,3.8,12160680.0
